MQ135_raw,MQ3_raw,label
1171,1915,spray_1m
1171,2072,spray_1m
1171,2006,spray_1m
1171,1976,spray_1m
1171,2187,spray_1m
1171,2062,spray_1m
1171,2114,spray_1m
1171,2281,spray_1m
1171,2151,spray_1m
1171,2041,spray_1m
1511,2027,spray_1m
1458,1956,spray_1m
1540,2051,spray_1m
1618,1995,spray_1m
1458,1934,spray_1m
1433,1836,spray_1m
1409,1957,spray_1m
1355,2123,spray_1m
1249,2288,spray_1m
1278,2425,spray_1m
1200,2300,spray_1m
1200,2382,spray_1m
1093,2448,spray_1m
1093,2510,spray_1m
1016,2323,spray_1m
1200,2145,spray_1m
1200,2025,spray_1m
1122,1875,spray_1m
1093,1858,spray_1m
1224,1693,spray_1m
1302,1652,spray_1m
1302,1667,spray_1m
1302,1502,spray_1m
1302,1431,spray_1m
1302,1550,spray_1m
1302,1632,spray_1m
1302,1639,spray_1m
1302,1870,spray_1m
1302,1692,spray_1m
1302,1897,spray_1m
1302,1771,spray_1m
1302,1716,spray_1m
1302,1718,spray_1m
1302,1786,spray_1m
1302,1999,spray_1m
1302,1967,spray_1m
1302,1993,spray_1m
1302,1812,spray_1m
1302,1642,spray_1m
1302,1864,spray_1m
1302,1684,spray_1m
1302,1598,spray_1m
1302,1515,spray_1m
1302,1692,spray_1m
1302,1876,spray_1m
1302,1794,spray_1m
1302,2009,spray_1m
1302,1852,spray_1m
1302,1854,spray_1m
1302,1703,spray_1m
1302,1759,spray_1m
1302,1704,spray_1m
1302,1852,spray_1m
1302,1963,spray_1m
1302,1963,spray_1m
1302,2095,spray_1m
1302,2227,spray_1m
1302,2013,spray_1m
1302,2161,spray_1m
1302,2062,spray_1m
1302,1860,spray_1m
1302,2078,spray_1m
1302,2275,spray_1m
991,2258,spray_1m
991,2188,spray_1m
962,2040,spray_1m
962,1945,spray_1m
962,1906,spray_1m
938,2009,spray_1m
913,2168,spray_1m
860,2141,spray_1m
860,2266,spray_1m
860,2422,spray_1m
835,2393,spray_1m
835,2464,spray_1m
835,2282,spray_1m
835,2389,spray_1m
835,2499,spray_1m
835,2292,spray_1m
835,2419,spray_1m
835,2291,spray_1m
835,2313,spray_1m
835,2208,spray_1m
835,2348,spray_1m
835,2405,spray_1m
835,2469,spray_1m
835,2444,spray_1m
835,2381,spray_1m
835,2497,spray_1m
835,2626,spray_1m
835,2642,spray_1m
835,2701,spray_1m
835,2566,spray_1m
835,2453,spray_1m
835,2378,spray_1m
835,2453,spray_1m
835,2397,spray_1m
835,2392,spray_1m
835,2542,spray_1m
1982,308,spray_0.5m
1982,499,spray_0.5m
1982,586,spray_0.5m
1982,634,spray_0.5m
1982,892,spray_0.5m
1982,810,spray_0.5m
1982,738,spray_0.5m
1982,914,spray_0.5m
1982,902,spray_0.5m
1982,1161,spray_0.5m
1982,1291,spray_0.5m
1982,1378,spray_0.5m
1982,1446,spray_0.5m
1982,1429,spray_0.5m
1982,1561,spray_0.5m
1982,1500,spray_0.5m
1982,1625,spray_0.5m
1982,1649,spray_0.5m
1982,1637,spray_0.5m
1982,1769,spray_0.5m
1982,1920,spray_0.5m
1982,2088,spray_0.5m
1982,1985,spray_0.5m
1982,2025,spray_0.5m
1982,2077,spray_0.5m
1982,2131,spray_0.5m
1982,2135,spray_0.5m
1982,1938,spray_0.5m
1982,1793,spray_0.5m
1982,1725,spray_0.5m
1982,1590,spray_0.5m
1982,1642,spray_0.5m
1982,1885,spray_0.5m
1982,1970,spray_0.5m
1982,2095,spray_0.5m
1982,2159,spray_0.5m
1982,2215,spray_0.5m
1982,2082,spray_0.5m
1982,2133,spray_0.5m
1982,1956,spray_0.5m
1982,2080,spray_0.5m
1982,2093,spray_0.5m
1982,1912,spray_0.5m
1982,2026,spray_0.5m
1982,1882,spray_0.5m
1982,1897,spray_0.5m
1982,2076,spray_0.5m
1982,2255,spray_0.5m
1982,2230,spray_0.5m
1982,2395,spray_0.5m
1982,2335,spray_0.5m
1982,2379,spray_0.5m
1982,2237,spray_0.5m
1982,2102,spray_0.5m
1982,2092,spray_0.5m
1982,2272,spray_0.5m
1982,2120,spray_0.5m
1982,2285,spray_0.5m
1982,2256,spray_0.5m
1982,2222,spray_0.5m
1982,2285,spray_0.5m
1982,2373,spray_0.5m
1982,2518,spray_0.5m
1982,2461,spray_0.5m
1982,2428,spray_0.5m
1982,2467,spray_0.5m
1982,2460,spray_0.5m
1982,2284,spray_0.5m
1982,2092,spray_0.5m
1982,2038,spray_0.5m
1982,2090,spray_0.5m
1982,2188,spray_0.5m
1982,2277,spray_0.5m
1982,2209,spray_0.5m
1982,2235,spray_0.5m
1982,2315,spray_0.5m
1982,2440,spray_0.5m
1982,2342,spray_0.5m
1982,2433,spray_0.5m
1982,2500,spray_0.5m
1982,2254,spray_0.5m
1982,2245,spray_0.5m
1982,2184,spray_0.5m
1982,1991,spray_0.5m
1982,1795,spray_0.5m
1982,1682,spray_0.5m
1982,1885,spray_0.5m
1982,1700,spray_0.5m
1982,1862,spray_0.5m
1982,1843,spray_0.5m
1982,1937,spray_0.5m
1982,1866,spray_0.5m
1982,1753,spray_0.5m
1982,1947,spray_0.5m
1982,2074,spray_0.5m
1982,1911,spray_0.5m
1982,2074,spray_0.5m
1982,2263,spray_0.5m
1982,2238,spray_0.5m
1982,2125,spray_0.5m
1982,2097,spray_0.5m
1982,2029,spray_0.5m
1982,2225,spray_0.5m
1982,2031,spray_0.5m
1982,2095,spray_0.5m
1982,1955,spray_0.5m
1982,1801,spray_0.5m
1982,2010,spray_0.5m
1982,2134,spray_0.5m
1982,2305,spray_0.5m
1982,2311,spray_0.5m
1982,2322,spray_0.5m
1982,2444,spray_0.5m
1982,2529,spray_0.5m
1982,2418,spray_0.5m
1982,2264,spray_0.5m
1982,2141,spray_0.5m
1982,2119,spray_0.5m
1982,2037,spray_0.5m
1982,2206,spray_0.5m
1982,2062,spray_0.5m
1982,2199,spray_0.5m
1982,2137,spray_0.5m
1982,1991,spray_0.5m
1982,1974,spray_0.5m
1982,2153,spray_0.5m
1982,2115,spray_0.5m
1982,1918,spray_0.5m
1982,1914,spray_0.5m
1982,2059,spray_0.5m
1982,2254,spray_0.5m
1982,2092,spray_0.5m
1982,2098,spray_0.5m
1982,2070,spray_0.5m
1982,1923,spray_0.5m
1982,1734,spray_0.5m
1982,1904,spray_0.5m
1982,1847,spray_0.5m
1982,1790,spray_0.5m
1982,1908,spray_0.5m
1982,1890,spray_0.5m
1982,1720,spray_0.5m
1982,1729,spray_0.5m
1982,1896,spray_0.5m
1982,1739,spray_0.5m
1982,1868,spray_0.5m
1982,1927,spray_0.5m
1982,2052,spray_0.5m
1982,2245,spray_0.5m
1982,2070,spray_0.5m
1982,2011,spray_0.5m
1982,1951,spray_0.5m
1982,1799,spray_0.5m
1982,1978,spray_0.5m
1982,1953,spray_0.5m
1982,1774,spray_0.5m
1982,1900,spray_0.5m
1982,1829,spray_0.5m
1982,1884,spray_0.5m
1982,1757,spray_0.5m
1982,1618,spray_0.5m
1982,1725,spray_0.5m
1982,1824,spray_0.5m
1982,1994,spray_0.5m
1982,2158,spray_0.5m
1982,2265,spray_0.5m
1982,2267,spray_0.5m
1982,2174,spray_0.5m
1982,2205,spray_0.5m
1982,2193,spray_0.5m
1982,2195,spray_0.5m
1982,2235,spray_0.5m
1982,2406,spray_0.5m
1982,2549,spray_0.5m
1982,2404,spray_0.5m
1982,2500,spray_0.5m
1982,2278,spray_0.5m
1982,2443,spray_0.5m
1982,2462,spray_0.5m
1982,2409,spray_0.5m
1982,2436,spray_0.5m
1982,2337,spray_0.5m
1982,2122,spray_0.5m
1982,1964,spray_0.5m
1982,1971,spray_0.5m
1982,2142,spray_0.5m
1982,2327,spray_0.5m
1982,2145,spray_0.5m
1982,2084,spray_0.5m
1982,2220,spray_0.5m
1982,2060,spray_0.5m
1982,1976,spray_0.5m
1982,2044,spray_0.5m
1982,2112,spray_0.5m
1982,2069,spray_0.5m
1982,2216,spray_0.5m
1957,2288,spray_0.5m
1957,2337,spray_0.5m
2191,2416,spray_0.5m
2191,2188,spray_0.5m
2371,2373,spray_0.5m
2424,2211,spray_0.5m
2531,2270,spray_0.5m
2662,2053,spray_0.5m
2555,2142,spray_0.5m
2453,2232,spray_0.5m
2424,2372,spray_0.5m
2424,2229,spray_0.5m
2400,2355,spray_0.5m
2244,2181,spray_0.5m
2162,2268,spray_0.5m
2215,2341,spray_0.5m
2215,2155,spray_0.5m
2269,2202,spray_0.5m
2293,2266,spray_0.5m
2424,2247,spray_0.5m
2424,2360,spray_0.5m
2424,2271,spray_0.5m
2424,2284,spray_0.5m
2424,2278,spray_0.5m
2424,2243,spray_0.5m
2424,2039,spray_0.5m
2424,1929,spray_0.5m
2424,1836,spray_0.5m
2424,1781,spray_0.5m
2424,1951,spray_0.5m
2424,1982,spray_0.5m
2424,1871,spray_0.5m
2424,2038,spray_0.5m
2424,1964,spray_0.5m
2424,1953,spray_0.5m
2424,1899,spray_0.5m
2424,1789,spray_0.5m
2424,1646,spray_0.5m
2424,1799,spray_0.5m
2424,1723,spray_0.5m
2424,1725,spray_0.5m
2424,1959,spray_0.5m
2424,2032,spray_0.5m
2424,2145,spray_0.5m
2424,2082,spray_0.5m
2424,2258,spray_0.5m
2424,2357,spray_0.5m
2424,2218,spray_0.5m
2424,2175,spray_0.5m
2424,1965,spray_0.5m
2424,2020,spray_0.5m
2424,1959,spray_0.5m
2424,1869,spray_0.5m
2424,2058,spray_0.5m
2424,1906,spray_0.5m
2424,2062,spray_0.5m
2424,2108,spray_0.5m
2424,2304,spray_0.5m
2424,2075,spray_0.5m
2424,1996,spray_0.5m
2424,2195,spray_0.5m
2424,2305,spray_0.5m
2424,2210,spray_0.5m
2424,2106,spray_0.5m
2424,2299,spray_0.5m
2424,2074,spray_0.5m
2424,2199,spray_0.5m
2424,2138,spray_0.5m
2424,2130,spray_0.5m
2424,2089,spray_0.5m
2424,1949,spray_0.5m
2424,1904,spray_0.5m
2424,1877,spray_0.5m
2424,2006,spray_0.5m
2424,2083,spray_0.5m
2424,2197,spray_0.5m
2424,2276,spray_0.5m
2424,2396,spray_0.5m
2424,2522,spray_0.5m
2424,2409,spray_0.5m
2424,2312,spray_0.5m
2424,2178,spray_0.5m
2424,2105,spray_0.5m
2424,2175,spray_0.5m
2424,2003,spray_0.5m
2424,2168,spray_0.5m
2424,2165,spray_0.5m
2424,2241,spray_0.5m
2424,2096,spray_0.5m
2424,2154,spray_0.5m
2424,2162,spray_0.5m
2424,2259,spray_0.5m

